"Metabolite","Importance"
"Anhydroglucitol_1_5",100
"Mannose",95.2653612025007
"Citrulline",82.5761760572034
"Arachidonoylcholine",75.0521378317206
"Palmitoylcholine",72.9917376029011
"Sphingomyelin_d18_1_20_1",69.6824681543968
"Gluconate",67.9314106965804
"Hydroxyoctanoate_3",64.8875476228167
"Enyl_palmitoyl_GPC",64.4356607136258
"Bromotryptophan_5",62.0480288454466
"Leucylalanine",61.8885775525336
"Glutamine",59.5891888374486
"Sphingomyelin_d18_1_24_1",58.9462096314569
"Arachidonate",58.7305529260199
"Malate",56.7839279235215
"Sphingomyelin_d18_2_14_0",56.4428772713822
"Lactosyl_N_palmitoyl_sphingosine",56.1882529377109
"Inosine",55.2667095978009
"Hydroxybutyrate_3",54.6575384834581
"N_acetylmethionine",54.5990586794783
"Linoleoyl_GPC",54.5490738409916
"Enyl_palmitoyl_palmitoyl_GPC",53.18423948389
"Enyl_palmitoyl_GPE",51.4047516655043
"Oleoylcholine",50.4740461719235
"Stearoyl_GPI",49.7237083803805
"Stearoyl_GPC",48.2831453856683
"Glucose",47.7095664127262
"Cysteine_glutathione_disulfide",47.1352130951724
"Hydroxydecanoate_3",46.4982860983642
"S_adenosylhomocysteine",45.6127956151511
"Enyl_oleoyl_GPE",44.5754503375377
"Methylguanine_7",43.2265703561067
"Pyroglutamine",42.8762090959155
"Threonine",42.6902164233196
"Erythronate",42.5001496840127
"Tryptophan",41.1933024135328
"Guanidinoacetate",41.0908171204397
"Lysine",41.053947066563
"Dihomo_linolenoyl_choline",40.9840751455923
"Choline",40.8839536380923
"Arabonate_xylonate",40.7988279296499
"N_acetyltaurine",40.679668622556
"Pipecolate",40.4923172517832
"Eicosapentaenoate",38.9341373151179
"Sphingomyelin_d18_1_22_1",38.4986904136976
"Enyl_palmitoyl_palmitoleoyl_GPC",38.302285268142
"Taurocholate",38.2065769055517
"Palmitoyl_linoleoyl_glycerol",38.0987542097352
"Fibrinogen_cleavage_peptide",37.9491631712762
"Sphingomyelin_d18_2_23_0",36.7035460888886
"Cholate",35.6080236672033
"Proline",35.6015410109419
"Ribonate",35.2505992065558
"Enyl_palmitoyl_linoleoyl_GPC",35.0677996098234
"Alpha_ketoglutarate",35.0319416100472
"Fructose",34.8030463395578
"Acetylcarnitine",34.7549495011424
"Citrate",33.6658836159623
"Sphingomyelin_d18_2_24_1",33.2024303119391
"Enyl_palmitoyl_oleoyl_GPC",32.6902908688693
"Cysteinylglycine",32.2933342969987
"Caffeine",32.2132939869434
"Pyridoxal",31.5695980711847
"Docosahexaenoylcholine",31.4097819933637
"Aminoisobutyrate_3",30.5238873858119
"Hydroxymyristate_3",29.8133799150361
"Theobromine",29.7899045929968
"Leucine",29.1084472444433
"Riboflavin",29.0903118005087
"Distearoyl_GPC",28.921095002039
"Hydroxybutyrate_hydroxyisobutyrate_2",28.7306765040817
"Xanthosine",28.5945317136456
"Palmitate",28.4821768687604
"Alpha_tocopherol",28.445836495692
"Cystine",27.9351175050427
"Cys_gly_oxidized",27.8162252091702
"Palmitoyl_oleoyl_GPE",27.7926486526099
"Cholesterol",26.8854352655472
"Isoleucine",26.8726994429741
"Paraxanthine",26.7612515073731
"Homocysteine",26.415797438669
"Aspartate",26.1450334969371
"Allantoin",25.9991583437973
"Gamma_glutamylglutamate",25.6984802134823
"Hydroxylaurate_3",25.0626608715709
"Ascorbate",24.3163235707765
"Glycocholate",24.2474952586587
"Hypoxanthine",23.9957712790499
"Oxalate",23.4058947747029
"Tyrosine",22.983016884519
"Lactate",22.4180460513041
"Sphingosine",22.3629209918887
"Palmitoleate",21.7979762787631
"Sphingomyelin_d18_2_16_0",21.7956564375797
"Adenosine",21.0582698334772
"Alanine",20.9824830776973
"Cytidine",20.7153304644796
"Deoxyuridine_2",20.3875541782689
"Fumarate",20.3609104286869
"Valine",20.2674418291782
"Glutamate",20.0927495076089
"Myristate",20.0887958784105
"Thiamine",19.9046440733091
"Ornithine",19.7652782434072
"Oleate",19.4132533285995
"GPC",19.2738982885369
"Xylitol",18.9689197034543
"Asparagine",18.8966736821036
"Glycine",18.8333614106179
"Arginine",18.3783373192726
"Pyruvate",18.006852079719
"Hippurate",17.0281841947363
"Guanosine",16.8105240599903
"Stearate",16.3954688374115
"Linoleate",15.7345450654236
"Succinate",15.6503700078545
"Taurine",15.4189128934923
"Salicylate",14.1718275599542
"Palmitoyl_sphingomyelin",14.0888583565473
"Histidine",13.7313249695361
"Nicotinamide",13.5049635176705
"Sorbitol",13.4917147792676
"Phenylalanine",13.2658209173304
"Serine",12.9503331368355
"Dihydroorotate",12.6490098977174
"Docosahexaenoate",12.4668020390032
"Pantothenate",12.1684766257752
"Uridine",12.0468690041648
"Carnitine",10.7976574359189
"Deoxycholate",10.5154335891934
"Gamma_glutamylalanine",8.88142395226025
"Propionylcarnitine",8.36486416341779
"Palmitoyl_dihydrosphingomyelin",6.46880227724703
"Maltose",4.14753784586216
"Uric_acid",3.55975867348336
"Palmitoyl_arachidonoyl_GPE",0
