"","Aspartate","Guanidinoacetate","Glutamine","Glutamate","Pyroglutamine","Cysteine_glutathione_disulfide","Cys_gly_oxidized","Pipecolate","S_adenosylhomocysteine","N_acetyltaurine","Hydroxybutyrate_hydroxyisobutyrate_2","Taurine","N_acetylmethionine","Bromotryptophan_5","Citrulline","Erythronate","Mannose","Fructose","Anhydroglucitol_1_5","Glucose","Ribonate","Arabonate_xylonate","Oxalate","Malate","Palmitoyl_linoleoyl_glycerol","Palmitoylcholine","Hydroxydecanoate_3","Hydroxyoctanoate_3","Hydroxymyristate_3","Hydroxylaurate_3","Hydroxybutyrate_3","Linoleoyl_GPC","Stearoyl_GPC","Stearoyl_GPI","Enyl_palmitoyl_GPC","Enyl_oleoyl_GPE","Enyl_palmitoyl_GPE","Arachidonoylcholine","Oleoylcholine","Dihomo_linolenoyl_choline","Distearoyl_GPC","Docosahexaenoylcholine","Palmitoyl_arachidonoyl_GPE","Palmitoyl_oleoyl_GPE","GPC","Enyl_palmitoyl_palmitoleoyl_GPC","Enyl_palmitoyl_oleoyl_GPC","Enyl_palmitoyl_linoleoyl_GPC","Enyl_palmitoyl_palmitoyl_GPC","Sphingomyelin_d18_2_14_0","Sphingomyelin_d18_2_24_1","Lactosyl_N_palmitoyl_sphingosine","Sphingosine","Sphingomyelin_d18_1_24_1","Sphingomyelin_d18_1_20_1","Sphingomyelin_d18_2_23_0","Sphingomyelin_d18_2_16_0","Sphingomyelin_d18_1_22_1","Palmitoyl_sphingomyelin","Palmitoyl_dihydrosphingomyelin","Inosine","Methylguanine_7","Dihydroorotate","Aminoisobutyrate_3","Deoxyuridine_2","Leucylalanine","Fibrinogen_cleavage_peptide","Gluconate","Valine","Leucine","Isoleucine","Alanine","Serine","Glycine","Threonine","Phenylalanine","Tyrosine","Tryptophan","Histidine","Lysine","Arginine","Proline","Ornithine","Homocysteine","Cystine","Asparagine","Lactate","Pyruvate","Xylitol","Sorbitol","Maltose","Cholesterol","Choline","Palmitate","Stearate","Oleate","Linoleate","Arachidonate","Docosahexaenoate","Eicosapentaenoate","Myristate","Palmitoleate","Carnitine","Acetylcarnitine","Propionylcarnitine","Cholate","Deoxycholate","Glycocholate","Taurocholate","Adenosine","Guanosine","Uridine","Cytidine","Hypoxanthine","Xanthosine","Uric_acid","Allantoin","Nicotinamide","Pantothenate","Riboflavin","Pyridoxal","Thiamine","Ascorbate","Alpha_tocopherol","Gamma_glutamylalanine","Gamma_glutamylglutamate","Cysteinylglycine","Caffeine","Paraxanthine","Theobromine","Hippurate","Salicylate","Citrate","Succinate","Fumarate","Alpha_ketoglutarate"
"Aspartate",1,0.149021862641094,-0.413663749107036,0.0271125926068492,-0.0112429679888709,-0.241627303718688,-0.369995184001185,0.267525217526734,0.285293825651873,0.288446873818824,-0.430966137370558,-0.0668076946204746,-0.140645425269465,-0.267731429775146,0.606732103769011,-0.388077420357777,-0.0417494272673651,0.211796979474158,0.0771999919035437,-0.290864385799772,0.515141240832721,0.0219568943138455,-0.381042062353657,0.47978249756052,0.254513391998565,-0.130848959089046,-0.201272384130939,0.0235304189121378,-0.270105656871363,0.0913466694430731,0.247499731125917,0.120822922783259,-0.0295605754354158,-0.0880641314485084,-0.161407129954508,-0.0445235728092482,0.343238726476156,-0.0252823589389799,0.0910013850634748,-0.279041158341628,0.347432991059386,0.166978512960971,-0.114976329090227,0.085879097834218,0.224137789608172,0.135343256981676,0.358718989990528,-0.470315060309535,0.243636620162933,-0.0689911186710069,0.197454163499191,0.0625824851337103,0.236460613512685,0.186929884331692,-0.0759945012977043,-0.356883391029166,-0.131965138113933,0.357229470028711,-0.294459012685766,-0.0151757702108437,0.0640475107311312,-0.11738724048807,0.0470834674411898,-0.0101198098529617,0.116395435762957,0.0313025002193323,-0.243954330083694,-0.0865336293859097,0.121951384189711,-0.126579383865131,0.224502876437852,0.0140921392478016,-0.214880780414602,-0.0901153650762168,-0.286255149542665,0.123806659056326,0.0243590836304263,0.249714080312644,-0.34170213209658,0.051383755445389,0.346235725320132,-0.102622155501523,-0.00487974288502528,0.00420918230236071,-0.0537252450324193,0.164834997277753,-0.339234671728214,0.26577413384119,-0.197365492102464,0.0120271276072951,-0.091653358247274,0.0774897218645609,-0.0959833359114515,-0.415585650956361,0.0376569673806317,0.261746952561526,0.184063487315599,-0.42354004141389,0.119033849418693,-0.221636866345956,0.173148777649328,0.34865995898707,0.0409505638830977,0.247217009293064,-0.39755983763696,-0.05541385715707,0.205746149752504,0.160051318401924,-0.258515194184464,-0.435230623065853,-0.213779305648591,-0.0524447304533202,0.00438245361105461,-0.107023287378718,0.179593380601791,0.351667863695043,-0.154034393518537,0.247486658643176,0.356092007996967,-0.0767909597434383,0.0771378924646587,-0.0321155232038616,0.0192540242528431,-0.45975471356753,-0.371372119701996,-0.191832836618953,-0.0779571514403691,0.143078549441026,-0.64284928621,-0.335465583927354,0.030959538011678,-0.305303500364484,0.0601495525431728,0.355953662363145,0.450312804578523,-0.232317938187896
"Guanidinoacetate",0.149021862641089,1,-0.0797827479233519,-0.223056934318483,-0.212991380163267,-0.0564322949073356,0.0943404198254394,-0.0680133953649576,-0.385951564027789,-0.205045091095036,-0.0821742268771366,-0.277371181634997,-0.0914558974342008,0.412096844189192,-0.192961004025884,0.172530392131312,0.0564704100302393,0.216137921867397,0.235786719779975,0.128052851726115,0.0144133101760301,0.0920013003085159,0.083006889986667,-0.356808837435054,0.0363414168751014,0.279702979586869,0.0154540776908591,0.0308800663645413,0.0793592214526745,0.166522137281083,-0.0532533138011645,-0.127839494722098,-0.476337747966152,0.0217131712208512,-0.115330527764659,-0.0566181787121587,-0.416552576759516,-0.145189094182673,0.154819583314474,-0.0287948959414873,-0.165120064398713,0.0623407249101206,-0.031570289011649,-0.0749901071511806,-0.192625338490453,0.106680075436525,0.0287117023215592,0.097601524864447,-0.265945423243136,0.112296380604905,0.0274488764168764,-0.0379074263302402,0.0549818264400332,0.0856683175730552,0.118838592532804,0.298612832918872,0.130046777669885,0.0229809619916912,0.434801302418456,0.0181684860952075,-0.0534009595380392,-0.00877915657847945,0.0149620607946427,-0.0333613803189355,-0.251148064601038,-0.152300986806331,0.283985923662484,-0.137035201256674,0.00197622451106362,0.169191616660579,0.00303457969799263,0.089758768450912,-0.164526973576991,-0.0320935420585411,-0.0647272509092431,-0.137050244123195,0.0718614737532636,-0.147306889530474,-0.0746727456680026,-0.33461600778113,-0.381267175391408,-0.0177429945762733,-0.0480866960814851,0.163063208765492,-0.0115125289275734,0.200483202152547,-0.0571810703230279,0.240117479707001,0.32354237632684,-0.283932376837167,0.00268130612508384,0.0129628894422379,-0.174606907701185,0.217154131435503,-0.101755168871184,-0.0991903199116153,0.0433584160725845,0.210899190859596,-0.0413137657323023,0.305103253015661,0.00789587721043712,-0.206993264555132,0.0802816115757769,0.0168458586628741,0.0850666854278073,0.00458109941432933,0.19418736964758,-0.0617270406242562,0.240557599441925,0.214990710117783,0.0131740719687583,0.253125087611597,-0.00574026411055464,-0.134735269570116,-0.342876129903049,-0.00522842660562528,0.239283342316721,-0.117977773794589,-0.0274734781859293,0.0943978622137267,0.145150056170605,-0.160433336440102,0.186727878076419,-0.00188817776154382,0.36985149232159,0.118564986323746,-0.109449665092444,-0.0107772851793573,0.203452444863646,0.0425419807018246,0.0246400818859677,0.220077105255598,-0.0781154637358516,-0.20683075335786,-0.271495916851957,0.300606254197625
"Glutamine",-0.413663749107037,-0.0797827479233372,1,-0.220144161988235,-0.367846739212901,-0.40433460177907,-0.11120636577045,0.222588806135522,-0.154976939187552,-0.195982714445215,-0.267428741157499,0.0178298374733254,-0.145680125646333,0.0420818166099546,0.198188593148731,-0.191639287256347,-0.00673186288613586,0.252860127602231,0.397864820305266,-0.169683326394229,0.284883174833851,0.0814785472708689,-0.212759917362339,0.147484892226766,0.412231694738177,0.244264752552928,-0.244845474929428,-0.16768172998639,-0.311038075650178,0.317485854762295,0.00431619862175748,-0.010022488801926,-0.292382978098241,0.296113122089217,-0.0369454694633423,-0.150466551899754,-0.161943368437256,-0.0549628524867114,0.0961308234559451,-0.331708115411145,-0.0681379770548172,0.128480802858013,0.299303315087989,0.16188105507564,-0.066309583167656,0.142486111892307,0.285279861097104,-0.400230383793871,0.132406503401145,0.0423851739356045,0.0687746727336997,0.00914210292973087,0.0980697864255733,0.296616748251785,0.0830603289656763,-0.106867887911932,0.140967062012535,0.240393622417555,0.0576947419867131,0.158223868928419,0.108961246577516,-0.161904683900819,0.209314641354097,-0.395291948627137,-0.0327820650986767,0.075330723308601,-0.0485581578495059,-0.0226135292819582,0.0508659255845323,-0.44658338512702,0.0202321992499024,-0.0985966798858356,-0.133669299788496,-0.130614659885906,-0.165780292215031,0.288485273016676,0.0798112372830729,0.332837404522036,-0.0139126751627776,-0.258655573118376,0.0305143180143832,-0.305974640714712,-0.243976462975824,0.162392814665062,-0.140478489869292,0.0204939191002478,-0.286376762768734,0.143453121681747,0.165472589177355,-0.0516108385999522,-0.0391109587850801,0.263346433683726,-0.251719569394482,-0.216083776489545,-0.0392311340753563,0.275388941209582,0.165274283659652,-0.135203143789804,-0.055660147721017,0.0238300605098303,0.226257991464581,0.0129758859664246,-0.121926630720525,0.10358146728454,-0.114473788959536,0.114337061870432,0.488037265230658,0.150734515561536,0.0051729068416019,0.0554773609047982,-0.157871520909721,0.000263846085883187,0.132253915705472,0.0734960756395913,-0.0691652286901032,0.134053900975133,0.12771927495628,0.0334386096054159,0.120273067218363,0.0647607288275889,0.220487432092465,-0.364210654460339,-0.11958579019795,-0.172280867424486,-0.377656389534367,-0.103846634136652,-0.211817852360848,0.0283586708316805,-0.331820727151994,-0.259070246954261,-0.0378180167487125,-0.183192494794404,-0.122963455522128,0.336711512864477,0.308611431329308,-0.255063550013414
"Glutamate",0.0271125926068639,-0.223056934318483,-0.220144161988237,1,-0.224040587303781,-0.205632297377111,0.0521210205985443,0.111822823168801,-0.486521632527431,-0.256141463427609,-0.0640227399603382,-0.282631504990011,0.0110498094937508,0.335323019749562,-0.0636404359277,0.345536274774742,0.397045306593426,0.156219832992529,0.329185175877471,0.0344415003813283,-0.298113792402589,-0.00252855920412583,0.00959582617572731,-0.258932938733637,0.377074256933647,0.40221254248228,-0.106683145690903,0.137237745151474,0.0207906206168377,0.156406675146862,0.0404950745925868,-0.209307820922137,-0.476433608531249,0.0555784310357076,0.0975760246975337,0.134713056205244,-0.52874967028246,-0.156695131808575,-0.00641815231834352,-0.403735626057719,-0.19757161908756,0.234032958057198,0.416679074320192,-0.198849345093706,-0.284187097110647,0.432808613670587,0.0138270499074717,0.0964583948941839,0.0444563843780353,0.0329941438591928,-0.0390416843161271,-0.173800120281395,0.294998485500475,0.160563188635225,0.263384232788416,0.140586533124067,0.44293824542587,-0.0511962390410284,0.477481241016447,0.00815520535477897,0.0282435459253615,-0.365972473467242,-0.00987669822485295,-0.318769094003453,-0.109708441423392,-0.317957015917501,0.0105075102918365,0.1068972598237,-0.223648352385119,-0.201565895619247,0.0679190456371372,0.0370393486990138,-0.00962278818330266,-0.381925417961694,0.0285960279132392,0.139342209783512,0.406355424132513,-0.245707985333568,0.01422313654931,-0.396758753520937,-0.262939539966944,-0.247212520134019,-0.180838081592028,0.0587834556356729,-0.221775015601619,0.345010396777743,-0.29022949831993,0.354712357782618,0.143462755774273,-0.20484911175788,0.0194769420824686,0.0209686603253443,-0.178607840930786,0.095506801020443,-0.0666107743772598,-0.0254801960085574,0.076527015230579,-0.0393571061062852,-0.145582396853427,0.333506771742251,-0.0564064497977064,-0.223334937896669,0.0651025168360324,-0.449869560077504,-0.0908974676725095,-0.198147420304293,0.386333728297688,0.10984898429619,0.390690464391491,0.404755900044578,-0.14282327240121,0.540605742443706,-0.206235167169225,-0.0578891588931272,-0.38163556910246,-0.0957195657225372,0.217132762518645,-0.111802967268951,-0.150554477926827,0.0632931732347116,0.177804611732266,-0.230726972837899,0.00394345893949944,0.0281717008380982,-0.109102480600932,0.0970682248809887,-0.242237809926331,-0.0797175838266062,0.267391094091142,0.00939817466218604,-0.0902470123735529,0.087699543027928,-0.257095831596383,0.0919773212794905,-0.083748867063871,0.174520584062108
"Pyroglutamine",-0.0112429679888686,-0.21299138016326,-0.367846739212897,-0.224040587303769,1,-0.249489621914149,0.228130352255545,-0.196252034178758,-0.14129461414351,-0.398197725175217,-0.131656869348408,0.0327621296915252,-0.10784910353329,0.0749966638554503,-0.172993699748693,0.0601502578981487,0.289976336408878,0.266440951227707,0.308224595290368,0.145404021120639,-0.006777776466104,0.0574221504539498,0.139823123494607,-0.161402891159442,0.310169579700606,0.310133760608738,0.000449935081372313,-0.119886080744629,-0.291044077853077,0.362351378017755,-0.129432658569386,-0.0227091109367469,-0.375539412910792,0.476889832858599,-0.00690675548915165,-0.285442190960017,-0.488272097331563,-0.305965355329465,-0.0243362223730269,-0.120413665739289,-0.259866311550944,0.070627924712454,0.43883644553547,-0.116853535921929,-0.0849188086415315,0.280953025960974,0.507801430054149,-0.236100109877457,0.078728016270667,0.387922035546052,-0.0810389162575852,-0.362065295027399,-0.0764432794150733,0.499538137598754,0.33316682159582,0.075308974500346,-0.0726406894488015,0.0883083990950139,0.186990932895907,0.158351728594963,0.0868101690322615,0.0587377103241495,0.363580307147014,-0.402522311291074,-0.111218322497988,0.181326398210202,0.0607787321953912,-0.309105097251409,0.267416224937266,-0.331104527953702,-0.145095930392254,-0.337485563382154,-0.0956492403632673,-0.139370683087363,-0.133149536108172,0.452792257255127,0.00423508892617741,0.329830913777165,0.0582931475517569,-0.25584214146076,-0.194167388578612,-0.303876109033326,-0.28921117784222,0.171961518188352,0.00457062669805823,-0.134377928124629,-0.0692921300353887,-0.133202079289661,0.473825992462892,0.0596196372706868,-0.0538733234171575,0.3929662125572,-0.363495869758113,-0.254017444194376,0.00565631456091523,0.406098460090397,-0.103701700196078,0.0195199494426441,-0.000223123744101001,0.326301237891201,0.261882773405207,-0.079724261437485,-0.290732173353631,0.00324918916434168,0.0119396387768895,0.354799895029234,0.36137944223766,0.0570070766144079,0.0143589614664776,0.282325798404435,0.0950551901908707,-0.0149198195909028,0.21914845596893,0.129374664660999,-0.261368915709509,-0.00550144208434928,0.380436049748746,-0.0981149845685935,0.069419081875909,0.139388719707963,-0.102403523636725,-0.359066414639075,-0.140369586187584,-0.263387304096504,-0.0791648036885981,-0.197648145025594,-0.476311647223833,-0.323675985526474,0.0875254795217537,-0.30255442530707,-0.311456889322067,-0.147067058892638,-0.285919185371849,0.15529763278257,-0.00613760479808507,-0.0661289362755553
"Cysteine_glutathione_disulfide",-0.241627303718686,-0.0564322949073301,-0.404334601779073,-0.205632297377119,-0.249489621914155,1,-0.00865678952589487,-0.00468198719565894,-0.0601063071215857,-0.0880805957976537,-0.218643981498336,-0.0082730936452371,-0.188516054654281,-0.109892155810781,0.279111970902918,-0.255177227121597,0.259835241566004,0.42298779542572,0.541727591698068,-0.311456763060419,0.301505741661786,-0.147399445275277,-0.202159265661718,0.144529755785264,0.231839119968948,-0.0740993446980412,-0.346798979889054,-0.0340235837610224,-0.308604130621978,0.197320686208239,0.202645339063326,-0.020596629169492,-0.198823847901346,0.131238225085046,-0.242573081531415,-0.174107724485167,-0.0958352908032976,-0.26144305757792,0.283573901491024,0.0410948147989845,-0.248569864336188,0.418482847133693,0.234788482378111,0.0129183592898391,0.0624460025821762,0.105997862181426,0.342341738926285,-0.374975489165181,0.0503643271749141,-0.00954016976906732,0.0868470279417435,-0.321925045746275,0.0100008158040555,0.423932031960216,0.238414707904785,-0.256391482400695,0.104465117972337,0.103855762833747,0.0251633426048193,-0.0126059873063866,0.0414315778333467,0.0132787731793322,0.355562765690532,-0.357822531543443,-0.385901906301584,0.15328814972531,0.155858909508448,-0.0475000981785303,0.168473805358323,-0.26749347190023,0.115999319063666,-0.113342321473042,-0.506049987051834,-0.0176512330889237,-0.0770295456671452,0.0745111238627541,0.02042674139388,0.266847183102764,-0.0674787361312813,-0.149483740436518,0.0567107110493691,-0.439365922495163,-0.354765376443776,0.163560491348385,-0.417310954390527,0.064341879211949,-0.16859894089242,0.186218351251451,0.404388012285941,-0.312206962224081,0.0559916016785542,0.455439887892393,-0.361494405692825,-0.422039398854922,0.271184606427386,0.394557570590268,0.462185439856591,-0.0603963855915971,0.109306316774986,-0.037415207412321,0.230909918685298,0.0536753909195299,-0.231080616565724,-0.066865380260417,-0.214821358643313,-0.10292775981463,0.564549700747023,0.257594944218224,-0.176228321699531,-0.0694553060992286,0.0606128374176062,0.0713209386558841,-0.0351445434193456,0.259998094135167,-0.0142309650500079,0.313153532027415,0.311813055201929,0.113690419835844,0.257801041604579,-0.272979303392998,-0.0559686838522472,-0.198691004078393,-0.151043273714074,-0.271967644753326,-0.247264443480704,-0.0278459491776555,-0.384550082382942,0.0862040379096607,-0.234881490505404,-0.148606873186792,-0.209180437687827,-0.209465373204289,-0.218963072773772,0.454148204776564,0.124186722639622,-0.0980535062288851
"Cys_gly_oxidized",-0.369995184001192,0.0943404198254437,-0.11120636577045,0.0521210205985346,0.228130352255543,-0.00865678952590148,1,0.312690107591615,0.11970923394334,0.209367634262666,-0.336522905741514,-0.21322816604777,-0.255232755344202,-0.0503095995976932,0.421322115872519,-0.172565793836306,-0.22769994309022,0.0717629860002319,0.15357110293939,-0.275468508385606,0.301022009084407,-0.0204774169010406,-0.322681793714114,0.320626869579036,0.033642133361011,-0.107410473844063,-0.0158201468794575,0.281206849094625,-0.089957847790737,-0.197053151669475,0.143315850102486,0.171687746883188,0.157739954166178,-0.233019230311463,-0.315456552809122,0.179600398241471,0.204290683818348,0.253175176265321,-0.0588484028095239,-0.157027423985013,0.383096322779649,-0.148800871018862,-0.22802684610552,0.121409371118679,0.252806406059886,-0.189218106300841,-0.00562512339071008,-0.281086766013645,0.0978454513142882,-0.0898720150640017,0.346542243938592,0.303963348585293,0.0127081041906706,-0.159933535856079,-0.191793135815321,-0.299160215052257,-0.0755957718686684,0.133081561426789,-0.356041660050002,-0.00357794038738771,0.104337442695105,-0.109255736506084,-0.16109680486082,0.194163908205715,0.250044740963498,-0.0152470131430919,-0.190131467421719,-0.0558178239937836,-0.196914659769892,0.166941096557666,0.0274424150802643,0.125708959600401,-0.14827976083045,-0.116591769944226,-0.176562405708812,-0.0403952570184146,0.0429081973592539,0.123785875377503,-0.317534842643742,0.190065189535254,0.241372931040152,0.187243071748819,0.255278044774196,0.113653279264014,0.158571940719868,0.115925997281936,-0.18004998025305,0.174410336327059,-0.336402050555612,-0.0175877524564766,-0.105940521194416,-0.195848629360488,0.141838171071063,-0.195637351857295,-0.0259327079965317,-0.168786277331251,0.257067645259453,-0.398105428079722,0.161411942097822,-0.1000648348167,-0.196732163289711,0.289110508565116,-0.0437817659399933,0.262595728959102,-0.150061068103922,-0.15284849717527,0.0786645162580236,0.13386861090986,-0.0706793378740442,-0.432521473473656,-0.315074301127894,0.0825165584958166,-0.0640247522349515,-0.255833927064507,0.199531681120187,0.135745064208434,-0.170964788308018,0.00727169718746619,-0.0669319635416439,-0.140423701737267,0.0712711644398722,0.159202250851808,0.193181012346175,0.0122090270970125,0.0205028455902638,-0.20765058088021,0.129433449952783,0.105817818034669,-0.354586450504635,-0.0654639405242252,0.1563707540305,-0.139425503256154,0.303585695894651,-0.0831909792017363,0.330765949485951,-0.271232011724549
"Pipecolate",0.267525217526737,-0.0680133953649601,0.222588806135528,0.111822823168809,-0.196252034178755,-0.00468198719565297,0.31269010759162,1,0.190774586265772,-0.188345687745544,0.23040254590832,0.384874823400514,0.111336812644264,-0.0932945778371871,-0.306928450250173,0.0957163179260673,0.060859243774741,0.079064321588922,-0.0385748035042456,0.219079859782543,-0.0483135086074675,-0.0547023408001859,0.17755973465626,0.0577445725221139,-0.278786919347869,-0.144061733779843,0.296880570415548,-0.219968129882664,-0.0807888752200475,0.256154330749077,-0.0885854267481239,-0.0450464202747444,-0.0202035879833185,0.25783390792889,-0.0293024798968094,-0.447648938596931,-0.00810624165507208,-0.396910809764047,0.0504403417758112,0.316024065325732,-0.253057889383062,-0.0517339376035611,0.171237349930714,-0.0997285939208537,0.17028221004228,0.123177382746487,0.337022342381189,0.121641651961145,-0.214782544271852,0.310713898110231,-0.0697919304945416,-0.52436450781747,-0.0627028891970183,0.282359937104904,0.301484552218275,0.0300757543872024,-0.361311108453912,-0.0447549380751688,0.0474206292069891,0.147780949380994,0.0377351500230414,0.30273885287876,0.387449228095573,-0.0451307538626683,-0.264981339981115,0.4161822858777,0.262482863717124,-0.274814075357063,0.389900063497008,-0.0661021184327175,-0.0093903643287842,-0.112532150844498,-0.0360331214570824,0.30729353015547,0.0300078986534597,0.131952514606765,-0.167860243917307,0.30161377334091,0.0688168404971917,-0.0943797452099909,0.0884368407643121,-0.277431861980551,-0.029181121910531,0.13090744368709,0.0328999507304667,-0.216793085019964,0.185892067943512,-0.331655977161019,0.230282695617708,0.158997789928028,-0.223121626885771,0.327657575602677,-0.157458916212404,-0.176193342272592,0.108358450467736,0.382843274223135,-0.152236340623784,0.387003563600414,0.00418716812636996,-0.000153292070391833,0.1003771841391,-0.0427399111718242,0.00811636106298375,-0.0482014442046028,0.208982871594288,0.356500096177435,-0.218738430933445,0.0410915106813484,-0.239472360242498,0.0344769992643658,0.382890070444144,-0.152089587431523,0.275992750008339,0.248077750311985,-0.0917187555696023,0.167944781120948,0.184062684436124,0.170110802068066,0.210195089454913,-0.111953954334294,-0.265809372390089,-0.15574484536284,-0.149349386338812,-0.133282745871049,0.108530495561643,-0.126755056200192,-0.287475070486941,0.123948145224675,0.194033861333076,-0.125468151078928,-0.11412143768182,-0.0555142660890275,-0.140652490643315,-0.0747119077548072,-0.069554857945764,0.226345317006
"S_adenosylhomocysteine",0.285293825651883,-0.385951564027789,-0.154976939187558,-0.486521632527424,-0.141294614143522,-0.0601063071215809,0.119709233943339,0.190774586265764,1,-0.398383000782879,-0.185183051945455,-0.320058846594773,-0.169641298372418,0.543147263616871,-0.364084261667218,0.426672674548308,0.264160030095589,0.0726989157469324,0.298316237388999,-0.0580431845399205,-0.292051528102865,0.15770542661625,0.108250575069228,-0.438918067404426,0.248559416816322,0.512914089304542,0.0751182616998909,0.201305205525145,0.16463048480469,0.0667132216622782,-0.193747616703985,-0.125801222267553,-0.528209783699312,-0.13234569250052,0.14911146424786,0.0695440315023082,-0.562458783729627,0.0509209178649107,0.0574781130196237,-0.173811040236353,-0.40027906298843,-0.0168515779069426,0.191516714347079,-0.232575275060783,-0.4790439836759,-0.0999980984383753,-0.340228024513417,0.156579347570009,-0.123269483812869,-0.23243454172816,0.00817032057656237,0.111262557078763,-0.0764225676547842,0.0378646440449844,0.0535704562695923,0.349289393427411,0.689755110249561,-0.173946123176008,0.428194202140613,0.0412118028380384,0.0291824773620905,-0.176712340241843,-0.229190050042132,-0.149346312112807,-0.10596320935002,-0.229668627504976,0.100347842106026,0.169717445008608,-0.272151363515791,-0.184039538605085,-0.268803121158284,0.0647477054890356,-0.00179685894532488,-0.365211113658032,-0.208485103911181,0.0240528960514241,0.31152886905996,-0.361131174401714,0.309421463055677,-0.29625751395036,-0.611183439048859,0.029352341440067,0.0519032363870353,-0.0866654751316551,-0.119782414706473,0.228035954083778,-0.0927908098066731,0.322470758990491,0.0990917455575438,-0.291611206917277,-0.176027384555961,-0.0716552140248132,-0.0795105332010918,0.327960650200176,-0.0820556733110571,-0.428372281022345,0.0552172551923545,0.0979680217731632,-0.187371220403678,0.394879643395395,-0.24260007667422,-0.479207715521231,0.021397997990344,-0.358479662018654,0.0246835331101916,-0.229546395662807,0.347610176945518,-0.0700074414004937,0.415443298619064,0.586879431719542,-0.221055500833276,0.413157548795351,-0.221550223270669,-0.247196658525375,-0.391852325783396,-0.380406883948772,0.0535699999057112,-0.273544486097882,-0.254443511128353,0.137050790501159,0.277257157850377,-0.388403047015053,0.212944733034408,0.476826312364459,-0.0725849443308147,0.152257871003467,0.0402278363126553,-0.140644964651514,0.410485153797333,0.0025763670646498,0.0624440640954943,0.344032180795871,-0.185729796174817,-0.27546843222182,-0.0580803719928959,-0.00172741180717377
"N_acetyltaurine",0.288446873818836,-0.205045091095034,-0.195982714445203,-0.256141463427592,-0.398197725175216,-0.0880805957976384,0.209367634262668,-0.188345687745551,-0.398383000782869,1,-0.0755090877717954,0.0493079640527877,-0.253342509281883,0.3869897271208,-0.512120099216457,0.183438178387208,0.2940931832198,0.294414000023557,0.271739704410828,0.0316124467763838,-0.20994361197238,0.0419307233536216,0.240688245508475,-0.408427682062977,0.191068106651439,0.347301525993701,0.175825513129063,-0.0130705810963783,-0.192392201104792,0.340405254975166,-0.255430506886071,-0.0208598360312855,-0.187179756142228,0.450964095535181,0.107198733971972,-0.309623011104389,-0.552803086505588,-0.135820600776105,0.0761893171606347,-0.0263744443724625,-0.407718341003119,0.0264227235447391,0.312551069503909,-0.306376064805086,-0.0100375553588169,-0.0192493555402617,0.257915685253381,0.00591867342793978,-0.170617747275408,0.281846973567491,-0.161405414420974,-0.231669958880915,-0.0910484700496758,0.400755008758798,0.367079267102275,0.114610247351037,0.244201287887738,-0.206883620892976,0.181594496585881,0.177567373851497,0.0144107086816468,0.0799022272568611,0.220539107114732,-0.290319613410454,-0.221337639987087,0.185754038656462,0.064234851099078,-0.233086909790099,-0.0415811350981908,-0.448662793070734,-0.418534643931687,-0.256678011052713,-0.106576327845782,-0.0437603002422127,-0.016820162995426,0.351756793051084,-0.0248114729623288,0.158990246724033,0.160355569114307,-0.179400999781408,-0.305027866149766,-0.11339234101834,-0.175840459952713,0.109659662321208,-0.209041706725603,-0.044725257223502,-0.141586359390197,-0.162225128717034,0.429995836143802,-0.0563516261796636,-0.285621252970372,0.221493574283445,-0.238772948915072,0.0820450600849897,0.131987262080787,0.127010117005587,-0.0397762881292614,0.186404998185745,-0.0631816976655996,0.299618953437238,0.108158237801529,-0.159361195245957,-0.27531853723861,-0.196125448812112,0.116451850805397,0.15305919653611,0.35580243007116,0.165448720766657,0.217512225236608,0.365203399322958,0.0919520085077688,0.107228032063345,0.0561742483326993,0.31732070800578,-0.255452498383884,-0.171106741029548,0.2577114721356,-0.205837953348839,-0.00426648757350653,0.0827896107709313,-0.00577691118727684,-0.472540020383906,-0.0207325054140814,0.198495594271042,-0.02414027547334,-0.134294819412451,-0.379294515263845,-0.212643399474806,0.436535377952032,-0.136155428540365,-0.1325453187754,-0.0403484540274079,-0.307595690967409,-0.137104288099964,-0.0584540511002901,0.128799861586061
