"Original_Name","Common_Name","Superclass","Class"
"Valine","Valine","Organic acids and derivatives","Amino Acids"
"Leucine","Leucine","Organic acids and derivatives","Amino Acids"
"Isoleucine","Isoleucine","Organic acids and derivatives","Amino Acids"
"Phenylalanine","Phenylalanine","Organic acids and derivatives","Amino Acids"
"Tyrosine","Tyrosine","Organic acids and derivatives","Amino Acids"
"Glutamate","Glutamate","Organic acids and derivatives","Amino Acids"
"Glutamine","Glutamine","Organic acids and derivatives","Amino Acids"
"Glycine","Glycine","Organic acids and derivatives","Amino Acids"
"Propionylcarnitine..C3.","Propionylcarnitine","Lipids and lipid-like molecules","Acylcarnitines"
"Isovalerylcarnitine..C5.","Isovalerylcarnitine","Lipids and lipid-like molecules","Acylcarnitines"
"Hexanoylcarnitine..C6.","Hexanoylcarnitine","Lipids and lipid-like molecules","Acylcarnitines"
"Palmitoylcarnitine..C16.","Palmitoylcarnitine","Lipids and lipid-like molecules","Acylcarnitines"
"X1.palmitoyl.GPC..16.0.","1-palmitoyl-GPC","Lipids and lipid-like molecules","Lysophosphatidylcholines"
"X1.oleoyl.GPC..18.1.","1-oleoyl-GPC","Lipids and lipid-like molecules","Lysophosphatidylcholines"
"X1.linoleoyl.GPC..18.2.","1-linoleoyl-GPC","Lipids and lipid-like molecules","Lysophosphatidylcholines"
"Taurocholate","Taurocholate","Lipids and lipid-like molecules","Bile Acids"
"Glycochenodeoxycholate","Glycochenodeoxycholate","Lipids and lipid-like molecules","Bile Acids"
"Oleate..18.1.","Oleate","Lipids and lipid-like molecules","Fatty Acids"
"Linoleate..18.2.","Linoleate","Lipids and lipid-like molecules","Fatty Acids"
"alpha.Hydroxybutyrate","alpha-Hydroxybutyrate","Organic acids and derivatives","Hydroxy Acids"
"Hippurate","Hippurate","Organic acids and derivatives","Hippuric Acids"
"Caffeine","Caffeine","Organoheterocyclic compounds","Xanthines"
"Paraxanthine","Paraxanthine","Organoheterocyclic compounds","Xanthines"
"Theobromine","Theobromine","Organoheterocyclic compounds","Xanthines"
"Hypoxanthine","Hypoxanthine","Organoheterocyclic compounds","Purines"
"Xanthine","Xanthine","Organoheterocyclic compounds","Purines"
"Uridine","Uridine","Nucleosides, nucleotides","Pyrimidines"
"Pyridoxate","Pyridoxate","Organic acids and derivatives","Vitamin B6"
"Threonate","Threonate","Organic acids and derivatives","Sugar Acids"
"Erythritol","Erythritol","Organic oxygen compounds","Sugar Alcohols"
"N.acetylglycine","N-acetylglycine","Organic acids and derivatives","Amino Acids"
"Gulono.1.4.lactone","Gulono-1,4-lactone","Organic oxygen compounds","Lactones"
