"Original_Name","Common_Name","HMDB_ID","KEGG_ID","Superclass","Class"
"Valine","Valine","HMDB0000883","C00183","Organic acids and derivatives","Amino Acids"
"Leucine","Leucine","HMDB0000687","C00123","Organic acids and derivatives","Amino Acids"
"Isoleucine","Isoleucine","HMDB0000172","C00407","Organic acids and derivatives","Amino Acids"
"Phenylalanine","Phenylalanine","HMDB0000159","C00079","Organic acids and derivatives","Amino Acids"
"Tyrosine","Tyrosine","HMDB0000158","C00082","Organic acids and derivatives","Amino Acids"
"Glutamate","Glutamate","HMDB0000148","C00025","Organic acids and derivatives","Amino Acids"
"Glutamine","Glutamine","HMDB0000641","C00064","Organic acids and derivatives","Amino Acids"
"Glycine","Glycine","HMDB0000123","C00037","Organic acids and derivatives","Amino Acids"
"Propionylcarnitine..C3.","Propionylcarnitine","HMDB0000824","C03017","Lipids and lipid-like molecules","Acylcarnitines"
"Isovalerylcarnitine..C5.","Isovalerylcarnitine","HMDB0000721","C02621","Lipids and lipid-like molecules","Acylcarnitines"
"Hexanoylcarnitine..C6.","Hexanoylcarnitine","HMDB0000722","C02990","Lipids and lipid-like molecules","Acylcarnitines"
"Palmitoylcarnitine..C16.","Palmitoylcarnitine","HMDB0000222","C02990","Lipids and lipid-like molecules","Acylcarnitines"
"X1.palmitoyl.GPC..16.0.","1-palmitoyl-GPC","HMDB0010383","C04230","Lipids and lipid-like molecules","Lysophosphatidylcholines"
"X1.oleoyl.GPC..18.1.","1-oleoyl-GPC","HMDB0010384","C04230","Lipids and lipid-like molecules","Lysophosphatidylcholines"
"X1.linoleoyl.GPC..18.2.","1-linoleoyl-GPC","HMDB0010385","C04230","Lipids and lipid-like molecules","Lysophosphatidylcholines"
"Taurocholate","Taurocholate","HMDB0000036","C05122","Lipids and lipid-like molecules","Bile Acids"
"Glycochenodeoxycholate","Glycochenodeoxycholate","HMDB0000642","C05422","Lipids and lipid-like molecules","Bile Acids"
"Oleate..18.1.","Oleate","HMDB0000208","C00712","Lipids and lipid-like molecules","Fatty Acids"
"Linoleate..18.2.","Linoleate","HMDB0000673","C01595","Lipids and lipid-like molecules","Fatty Acids"
"alpha.Hydroxybutyrate","alpha-Hydroxybutyrate","HMDB0000008","C05984","Organic acids and derivatives","Hydroxy Acids"
"Hippurate","Hippurate","HMDB0000714","C00546","Organic acids and derivatives","Hippuric Acids"
"Caffeine","Caffeine","HMDB0001847","C07481","Organoheterocyclic compounds","Xanthines"
"Paraxanthine","Paraxanthine","HMDB0001848","C07480","Organoheterocyclic compounds","Xanthines"
"Theobromine","Theobromine","HMDB0001849","C07480","Organoheterocyclic compounds","Xanthines"
"Hypoxanthine","Hypoxanthine","HMDB0000157","C00262","Organoheterocyclic compounds","Purines"
"Xanthine","Xanthine","HMDB0000292","C00385","Organoheterocyclic compounds","Purines"
"Uridine","Uridine","HMDB0000296","C00299","Nucleosides, nucleotides","Pyrimidines"
"Pyridoxate","Pyridoxate","HMDB0000017","C00847","Organic acids and derivatives","Vitamin B6"
"Threonate","Threonate","HMDB0000943","C01620","Organic acids and derivatives","Sugar Acids"
"Erythritol","Erythritol","HMDB0002994","C01697","Organic oxygen compounds","Sugar Alcohols"
"N.acetylglycine","N-acetylglycine","HMDB0000532","C02727","Organic acids and derivatives","Amino Acids"
"Gulono.1.4.lactone","Gulono-1,4-lactone","HMDB0001051","C02302","Organic oxygen compounds","Lactones"
