"Metabolite","KEGG_ID","Pathway"
"Valine","C00183","Amino acid metabolism"
"Leucine","C00123","Amino acid metabolism"
"Isoleucine","C00407","Amino acid metabolism"
"Phenylalanine","C00079","Amino acid metabolism"
"Tyrosine","C00082","Amino acid metabolism"
"Glutamate","C00025","Amino acid metabolism"
"Glutamine","C00064","Amino acid metabolism"
"Glycine","C00037","Amino acid metabolism"
"Valine","C00183","BCAA degradation"
"Leucine","C00123","BCAA degradation"
"Isoleucine","C00407","BCAA degradation"
"Isovalerylcarnitine..C5.","C02621","BCAA degradation"
"Propionylcarnitine..C3.","C03017","Fatty acid metabolism"
"Isovalerylcarnitine..C5.","C02621","Fatty acid metabolism"
"Hexanoylcarnitine..C6.","C02990","Fatty acid metabolism"
"Palmitoylcarnitine..C16.","C02990","Fatty acid metabolism"
"X1.palmitoyl.GPC..16.0.","C04230","Fatty acid metabolism"
"X1.oleoyl.GPC..18.1.","C04230","Fatty acid metabolism"
"X1.linoleoyl.GPC..18.2.","C04230","Fatty acid metabolism"
"Oleate..18.1.","C00712","Fatty acid metabolism"
"Linoleate..18.2.","C01595","Fatty acid metabolism"
"Taurocholate","C05122","Primary bile acid biosynthesis"
"Glycochenodeoxycholate","C05422","Primary bile acid biosynthesis"
"Caffeine","C07481","Purine/Caffeine metabolism"
"Paraxanthine","C07480","Purine/Caffeine metabolism"
"Theobromine","C07480","Purine/Caffeine metabolism"
"Hypoxanthine","C00262","Purine/Caffeine metabolism"
"Xanthine","C00385","Purine/Caffeine metabolism"
"Uridine","C00299","Pyrimidine metabolism"
"Pyridoxate","C00847","Vitamin B6 metabolism"
